GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Practica1,main.java.es.ull.flights,Flight,5,62,1,3,1,17,1,7,0,6
Practica1,main.java.es.ull.passengers,Passenger,14,63,5,5,3,20,4,9,0,8
